CountryName,CountryCode,Date,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,M1_Wildcard,M1_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,LegacyStringencyIndex,LegacyStringencyIndexForDisplay
Aruba,ABW,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Afghanistan,AFG,20200101,0,,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures,0,,"Form January 1 to March 25th, there were no closure of workplace. The first cities in Afghanistan that went into daytime curfew were three provinces, bordering Iran: On Wednesday (March 25), authorities placed Herat, Zaranj (capital of Nimroz province) and Farah (capital of Farah province) under daytime curfews. https://www.aljazeera.com/news/2020/03/coronavirus-herat-emerges-afghanistan-epicentre-200325032420910.html",0,,,0,,,0,,"Prior to March 25, 2020, there were no restrictions in Afghanistan regarding public transportation.     Source: anecdotal information from conversations with people in Afghanistan.   And:  For weeks, the Ministry of Public Health had asked the Kabul government to order the complete shutdown of the city of Herat, a measure initially rejected by officials in Herat and Kabul, in spite of having gained public support online: https://www.aljazeera.com/news/2020/03/coronavirus-herat-emerges-afghanistan-epicentre-200325032420910.html ",0,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Angola,AGO,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Albania,ALB,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Andorra,AND,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
United Arab Emirates,ARE,20200101,0,,,0,,,0,,,0,,[T]he UAE has been under an overnight curfew since March 26 - could not find evidence of restrictions prior to that;  https://web.archive.org/web/20200430174227/https://www.thesun.co.uk/news/11304061/uk-coronavirus-lockdown-month-lasted-start-end/,0,,,0,,,0,,,0,,0,,,0,,0,,,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Argentina,ARG,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Australia,AUS,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,,,0,,,0,No cases reported/confirmed in Australia until 25 January 2020.,0,No cases reported/confirmed in Australia until 25 January 2020.,0,,0,,,,0,0,0,0,0,0
Austria,AUT,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,1,I couldn't find data on testing before Feb 28 but one could assume that the policy I found for Feb 28th been around earlier since it's standard medical practice: ie patients whose doctors say they should get tested will get tested https://web.archive.org/web/20200228165023/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Haeufig-gestellte-Fragen.html ,,,0,,0,,,,0,0,0,0,0,0
Azerbaijan,AZE,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,0,,"""On March 19 the President issued an order to allocate 1 billion manat ($5.88M) from the state budget to the Cabinet of Ministers for the implementation of measures to reduce the negative impact of the coronavirus pandemic on the economy, to ensure macroeconomic stability, to support employment and entrepreneurship. For the effective implementation of assigned measures the Cabinet of Ministers adopted an action plan which contains  theprogram of compensation for the damages to the entrepreneurs and their employees beginning April 8.""     https://web.archive.org/web/20200430221652/https://moderndiplomacy.eu/2020/04/23/azerbaijans-response-to-covid-19-related-economic-problems/    Also: https://web.archive.org/web/20200430221750/https://news.az/articles/politics/146772",0,,0,,,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Burundi,BDI,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,https://bi.usembassy.gov/covid-19-information/,,,,,,0,"No measure has been officially announced. The Covid-19 contingency plan is costed at USD 26 million (about 0.9 percent of 2019 GDP) as of April 1, 2020.  https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19#B",,,0,,,0,"As of March 27th, the government was not conducting enough tests.    https://web.archive.org/web/20200405085539/https://www.hrw.org/news/2020/03/31/burundi-any-covid-67-cover-will-put-lives-risk#",0,,0,,0,,,,,,0,0,0,0
Belgium,BEL,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Burkina Faso,BFA,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Bangladesh,BGD,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Bulgaria,BGR,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Bahrain,BHR,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Bosnia and Herzegovina,BIH,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Belize,BLZ,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Bermuda,BMU,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Bolivia,BOL,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0
Brazil,BRA,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,Still no suspected cases in the country. ,0,,0,,0,,,,0,0,0,0,0,0
Barbados,BRB,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Brunei,BRN,20200101,0,,,0,,"There are no direct measures for workplace closure, but some procedure and advice have been established by the Ministry of Health (protocol for when a worker is positive for covid-19 and protocol for disinfection of workplace)   /web/20200404200230/http://www.moh.gov.bn/Shared%20Documents/2019%20ncov/guidelines/Procedures%20for%20Workplace%20in%20the%20event%20of%20a%20member%20of%20staff%20is%20diagnosed%20with%20COVID-19.pdf  /web/20200404200352/http://www.moh.gov.bn/Shared%20Documents/2019%20ncov/guidelines/Guideline%20for%20Cleaning%20and%20Disinfection%20of%20General%20Workplaces%20%28OHD%20Feb%202020%29.pdf    ",0,,,,,,0,,"The Ministry of Health has provided advisory for safe use of public facilities, such as public transportation, but other tan recommendations there is no measure closing it.  /web/20200404195342/http://www.moh.gov.bn/Shared%20Documents/2019%20ncov/guidelines/ADVISORY%20FOR%20SAFE%20USE%20OF%20PUBLIC%20FACILITIES.pdf  ",,,,0,,There is no direct policy regarding restrictions to internal movement. Only since March 19 the Ministry of Health released an andvisory for safe use of public facilities in general (supply-sided)  /web/20200404204950/http://www.moh.gov.bn/Shared%20Documents/2019%20ncov/guidelines/ADVISORY%20FOR%20SAFE%20USE%20OF%20PUBLIC%20FACILITIES.pdf,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Botswana,BWA,20200101,0,,"President Masisi announced school closures on 19/3/2020 to begin the next day, 20/3/2020. https://www.facebook.com/BotswanaGovernment/posts/2832225860193387",0,,,0,,,,,,0,,,,,,0,,,1,Self referral screening from December,0,,,0,,0,,0,,1,1,Online public health website notification (http://web.archive.org/web/20200322110625/https://www.moh.gov.bw/coronavirus.html) and travellers posters (https://www.moh.gov.bw/Publications/coronavirus/Travellers_poster.pdf),0,,0,,0,,0,,,,,,9.92,9.92,12.38,12.38
Canada,CAN,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,No policy identified,1,"Unknown exactly - this is not disclosed, but Chief Medical Officer signals that it is being done across municipalities and provinces. It appears to be a selective process; and with the recent upsurge in cases, unlikely that it is being done comprehensively.    Sources:  https://nationalpost.com/health/covid-19-it-worked-in-asia-the-who-says-its-crucial-but-is-canada-still-using-contact-tracing",0,No announcements,0,No announcements to date,,,0,0,0,0,0,0
Switzerland,CHE,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Chile,CHL,20200101,0,,,0,,,0,,,,,,0,,https://cdn.digital.gob.cl/filer_public/4e/e7/4ee75fd1-5eef-4bb1-befc-8ea11fd38c7f/instructivo_salvoconducto.pdf,,,,0,,,0,,,,,,,0,,,,0,,,0,No official information available ,0,,0,,,,,,,,0,0,0,0
China,CHN,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,0,,,,0,,Report of unknown virus in Wuhan http://m.news.cctv.com/2019/12/31/ARTIsg2QlHWoHQixNnJMlIHb191231.shtml,1,"""However, testing kits for the disease were not distributed to some of Wuhan’s hospitals until about Jan. 20, an official at the Hubei Provincial Center for Disease Control and Prevention (Hubei CDC) told Reuters. Before then, samples had to be sent to a laboratory in Beijing for testing, a process that took three to five days to get results, according to Wuhan health authorities."" https://web.archive.org/web/20200127184432/https://www.reuters.com/article/us-china-health-testing-insight/confusion-and-lost-time-how-testing-woes-slowed-chinas-coronavirus-response-idUSKBN1ZQ21K",1,,0,,0,,,,27,0,0,0,0,0
Cameroon,CMR,20200101,0,,,0,,,0,,,,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Democratic Republic of Congo,COD,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Colombia,COL,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,0,,"Only until April 7 the government started implementing different transfer schemes  through different national programmes (Colombia Mayor, Ingreso Solidario and Familias en Acción). See the links that explain the phases of the transfer programmes:  http://web.archive.org/web/20200501011226/https://ingresosolidario.dnp.gov.co/  http://web.archive.org/web/20200501011226/https://ingresosolidario.dnp.gov.co//web/20200501011033/https://ingresosolidario.dnp.gov.co/documentos/ETAPAS.pdf  http://web.archive.org/web/20200429202305/https://id.presidencia.gov.co/Paginas/prensa/2020/Gobierno-Nacional-presenta-balance-sobre-entrega-ayudas-economicas-durante-Aislamiento-Preventivo-Obligatorio-200428.aspx  ",0,"The first reliefs were authorised with the issuance of  Decree 417, on March 17 2020.Here’s the links:  http://web.archive.org/web/20200501012945/https://dapre.presidencia.gov.co/normativa/normativa/DECRETO%20417%20DEL%2017%20DE%20MARZO%20DE%202020.pdf  http://web.archive.org/web/20200429211423/https://www.lafm.com.co/colombia/duque-anuncia-que-queda-prohibido-el-desalojo-por-no-pago-de-arriendo  https://id.presidencia.gov.co/especiales/200317-medidas-enfrentar-coronavirus/index.html",0,,0,Colombia has not offered support to other countries.,0,,,0,"The first version of the guidelines on the detection of COVID cases that all health providers must follow were issued and approved by the Ministry of Health on January 31, 2020.  Here's the link to the first version of the guidelines: http://eselavega-cundinamarca.gov.co/wp-content/uploads/2020/02/GIPS05-LINEAMIENTOS-IPS.pdf   The revised version of the guidelines was issued on March 19, here's the link to the second version of the guidelines:  https://www.minsalud.gov.co/Ministerio/Institucional/Procesos%20y%20procedimientos/GIPS05.pdf",0,"The first version of the guidelines for the detection and management of COVID cases that all health providers must follow (issued and approved by the Ministry of Health on January 31, 2020) did not include any protocols about contact tracing.  Here's the link to the first version of the guidelines: http://eselavega-cundinamarca.gov.co/wp-content/uploads/2020/02/GIPS05-LINEAMIENTOS-IPS.pdf ",0,"On March 22, the Colombian government announced that 6 billion colombian pesos (USD $1,457,386,095.62) would be spent in health to address COVID. However, the expenditures have not been officially incorporated to the budget. See the press release here: https://id.presidencia.gov.co/Paginas/prensa/2020/Presidente-Duque-anuncia-sector-salud-recibira-mas-de-6-billones-de-pesos-fechas-entregas-recursos-para-colombianos-200322.aspx ",0,,,,,,0,0,0,0
Cape Verde,CPV,20200101,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Cuba,CUB,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Cyprus,CYP,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Czech Republic,CZE,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Germany,DEU,20200101,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Djibouti,DJI,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Dominica,DMA,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,,,0,,,,,,0,0,0,0
Denmark,DNK,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Dominican Republic,DOM,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Algeria,DZA,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Ecuador,ECU,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Egypt,EGY,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,2,"Significant work is being done, especially in the areas of early detection, laboratory testing, isolation, contact tracing and referral of patients  LINK: https://web.archive.org/web/20200411202711/http://www.emro.who.int/media/news/who-delegation-concludes-covid-19-technical-mission-to-egypt.html",0,,0,,,,0,0,0,0,0,0
Spain,ESP,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,0,,0,,,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Estonia,EST,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,"Estonia already has unemployment insurance in place and doesn't seem to have undertaken additional wage support measures. However, many people are utilizing unemployment insurance. As of April 14th, data from the Unemployment Insurance Fund shows €19 million worth of wage compensation has so far been paid to over 22,000 employees of more than 3,907 companies.(https://web.archive.org/web/20200502105825/https://news.err.ee/1077026/state-has-paid-wage-compensation-for-3-900-estonian-companies)",0,,0,,,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Ethiopia,ETH,20200101,0,,"No measures yet, especially as first case recorded on March 13. See  /web/20200422200746/https://www.aljazeera.com/news/2020/04/ethiopia-declares-state-emergency-fight-covid-19-200408142519485.html",0,,"No measures yet, especially as first case recorded on March 13. See  /web/20200422200746/https://www.aljazeera.com/news/2020/04/ethiopia-declares-state-emergency-fight-covid-19-200408142519485.html",0,,"No measures yet, especially as first case recorded on March 13. See  /web/20200422200746/https://www.aljazeera.com/news/2020/04/ethiopia-declares-state-emergency-fight-covid-19-200408142519485.html",,,,0,,"No measures yet, especially as first case recorded on March 13. See  /web/20200422200746/https://www.aljazeera.com/news/2020/04/ethiopia-declares-state-emergency-fight-covid-19-200408142519485.html",,,,0,,"No measures yet, especially as first case recorded on March 13. See  /web/20200422200746/https://www.aljazeera.com/news/2020/04/ethiopia-declares-state-emergency-fight-covid-19-200408142519485.html",0,No travel restrictions/controls until March 23. See  http://web.archive.org/save/https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html,0,,,0,,0,,0,,0,,,0,,0,First case not until March 13,0,,0,,,,,,0,0,0,0
Finland,FIN,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,0,,,0,,0,,,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
France,FRA,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Gabon,GAB,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
United Kingdom,GBR,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Ghana,GHA,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Gambia,GMB,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Greece,GRC,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,0,No mention of contact tracing in news or press releases,0,,0,,,,0,0,0,0,0,0
Greenland,GRL,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Guatemala,GTM,20200101,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Guam,GUM,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Guyana,GUY,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,,*No data,,,0,,,0,,0,,,*No data,0,,,,,,0,0,0,0
Hong Kong,HKG,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,"The Centre for Health Protection's Port Health Division conducts health surveillance measures at all boundary control points. Thermal imaging systems are in place for body temperature checks on inbound travellers. Suspected cases with serious infectious diseases identified will be immediately referred to public hospitals for isolation, treatment and follow-up.   Source: https://web.archive.org/web/20200207004646/https://www.info.gov.hk/gia/general/201912/31/P2019123100667.htm",0,,,0,,0,,0,,2,1,"Centre for Health Protection closely monitors cluster of pneumonia cases on Mainland.  To prevent pneumonia and respiratory tract infection, members of the public should maintain good personal and environmental hygiene.   Source: https://web.archive.org/web/20200207004646/https://www.info.gov.hk/gia/general/201912/31/P2019123100667.htm",0,,0,No suspected case until 22 Jan 2020,0,,0,,,,,,13.89,13.89,17.14,17.14
Honduras,HND,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Croatia,HRV,20200101,0,,This website is continually updated and has all decisions made by the central government: https://www.koronavirus.hr/odluke-stozera-civilne-zastite-za-sprjecavanje-sirenja-zaraze-novim-koronavirusom/323,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,,,,,0,,0,,,,0,0,0,0,0,0
Hungary,HUN,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Indonesia,IDN,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
India,IND,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Ireland,IRL,20200101,0,,https://web.archive.org/save/https://www.theguardian.com/world/2020/mar/12/ireland-school-closures-reveal-stark-contrast-to-uk-covid-19-response,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Iran,IRN,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,"No word on any contact tracing measures till 2 March. On 3 March, the government released a surveillance app which would advise if the user should go to a hospital to get checked.  https://web.archive.org/web/20200413125205/https://www.vice.com/en_us/article/epgkmz/iran-launched-an-app-that-claimed-to-diagnose-coronavirus-instead-it-collected-location-data-on-millions-of-people   However, it is not clear if the government is using the data to conduct contact tracing. From the lack of any news on it, it seems like there is no contact tracing policy as such.",0,,0,,,,0,0,0,0,0,0
Iraq,IRQ,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,"April 3:     ""Establishing a committee to be chaired by the Minister of Planning to report on the financial impact of Covid-19 on citizens, and to suggest options to provide financial support to affected groups, especially those on low income""    https://web.archive.org/web/20200430231030/https://www.iraq-businessnews.com/2020/04/03/covid-19-iraq-announces-key-measures/    April 6:     ""To date, there has been no government plan for providing financial support for people laid off due to the pandemic. Unlike government employees who can rely on steady paychecks, day laborers have been particularly hit hard as they rely on what they make day to day and often have no cushion of savings.  In a country where the government admits at least 22.5% are below the poverty line, a prolonged disruption to economic activity can be catastrophic for millions across the society.""    https://web.archive.org/web/20200430231159/https://enablingpeace.org/mitigating-the-impact-of-covid-19-in-iraq/",0,,0,,,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Iceland,ISL,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,no report on this matter,,no report on this matter,,,0,0,0,0,0,0
Israel,ISR,20200101,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Italy,ITA,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Jamaica,JAM,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,0,,,0,,0,,,,,,,,,,0,0,0,0
Jordan,JOR,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,,,,,,,,,0,0,0,0
Japan,JPN,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,No data available ,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Kazakhstan,KAZ,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Kenya,KEN,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,0,,,0,,0,,,,0,,,0,"Kenya has a National Influenza Center that tests generally for viruses and flu. However, capacity had not been put in place to deal with with COVID-19",0,"Initially, Kenya had not placed any contact tracing requirements since the first case was reported on March 13, 2020.    Sources:  https://web.archive.org/web/20200402093452/https://www.nation.co.ke/news/Kenya-confirms-first-coronavirus-case/1056-5489268-28tqll/",0,,0,,,,,,0,0,0,0
Kyrgyz Republic,KGZ,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,The authorities will safeguard health spending at around budgeted levels and create space for increasing health and other spending once the full impact of mitigation measures is assessed: https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19#K. ,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
South Korea,KOR,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,1,"Quotation: ""Tax credits for rental property owners that lowered the rental fee of a commercial building (RSTA §96-3)—if a landlord renting a commercial building reduces the rental fee owed by a small business tenant for the period from January to June 2020, 50% of the rental-fee reduction will be deductible (for tax purposes) from the landlord's income and corporate taxes.""  Link: https://home.kpmg/us/en/home/insights/2020/04/tnf-korea-tax-relief-includes-reduced-rates-temporary-increased-deductions.html",0,,0,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Kuwait,KWT,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,"""KUWAIT, March 31 (Reuters) - Kuwait will announce measures later on Tuesday aimed at supporting the economy against the coronavirus pandemic, a government source told Reuters.    The sectors most affected include aviation, hospitality and real estate, said the source, adding that the measures would include exemptions from government fees and credit facilities for those affected.    The source said that, given a plunge in oil prices, passing a debt law that would allow Kuwait to borrow more has become a “government priority” and that the state fund the government uses to finance its deficit has around 14 billion dinars ($44.65 billion) left in it. ($1 = 0.3135 Kuwaiti dinars) (Reporting by Ahmed Hagagy, writing by Davide Barbuscia Editing by Gareth Jones)""    https://web.archive.org/web/20200430225402/https://www.reuters.com/article/health-coronavirus-kuwait-economy/kuwait-to-announce-state-intervention-to-prop-up-economy-government-source-idUSD5N2BF00F",0,,,,,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Laos,LAO,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,,,0,,0,,0,,,,,,0,0,0,0
Lebanon,LBN,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Libya,LBY,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,"The National Center for Disease Control - Libya, is the only competent medical authority that is authorised to carry out disease control measures across the land. The keep an updates log of events concerning the Covid-19 epidemic dating back to 21 March 2020 - in Arabic. Examining this log to establish whether PCR testing is the measure taken to confirm cases led me to believe that prior to 24th March PCR testing was not the norm practice to confirm cases of cornonavirus. A reference to lab testing is indicative to testing for antibodies.    https://web.archive.org/save/https://ncdc.org.ly/Ar/statements-about-covid19/  ",0,,0,,0,,,,,,0,0,0,0
Sri Lanka,LKA,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Lesotho,LSO,20200101,0,,,0,,,0,,,,,,0,,,,,,0,,,0,,,,,,,,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Luxembourg,LUX,20200101,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,,,0,0,0,0,0,0
Macao,MAC,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,0,,,,2,1,https://news.gov.mo/detail/zh-hant/N20AAECxlQ?35,0,,0,,0,,0,,,,,,11.11,11.11,14.29,14.29
Morocco,MAR,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
Moldova,MDA,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,0,0,0
