Date;Time of day;Total[MWh]
Jan 1, 2015;12:00 AM;10,606.25
Jan 1, 2015;12:15 AM;10,505.25
Jan 1, 2015;12:30 AM;10,517
Jan 1, 2015;12:45 AM;10,468.5
Jan 1, 2015;1:00 AM;10,307.5
Jan 1, 2015;1:15 AM;10,202.5
Jan 1, 2015;1:30 AM;10,115.25
Jan 1, 2015;1:45 AM;10,040
Jan 1, 2015;2:00 AM;9,989.5
Jan 1, 2015;2:15 AM;9,917.75
Jan 1, 2015;2:30 AM;9,845.5
Jan 1, 2015;2:45 AM;9,757
Jan 1, 2015;3:00 AM;9,718.75
Jan 1, 2015;3:15 AM;9,667.5
Jan 1, 2015;3:30 AM;9,581
Jan 1, 2015;3:45 AM;9,570
Jan 1, 2015;4:00 AM;9,577.5
Jan 1, 2015;4:15 AM;9,550
Jan 1, 2015;4:30 AM;9,528.5
Jan 1, 2015;4:45 AM;9,497
Jan 1, 2015;5:00 AM;9,564
Jan 1, 2015;5:15 AM;9,510
Jan 1, 2015;5:30 AM;9,456
Jan 1, 2015;5:45 AM;9,397
Jan 1, 2015;6:00 AM;9,342.5
Jan 1, 2015;6:15 AM;9,414
Jan 1, 2015;6:30 AM;9,545.25
Jan 1, 2015;6:45 AM;9,619.25
Jan 1, 2015;7:00 AM;9,686
Jan 1, 2015;7:15 AM;9,735.75
Jan 1, 2015;7:30 AM;9,815.5
Jan 1, 2015;7:45 AM;9,906.25
Jan 1, 2015;8:00 AM;9,949.75
Jan 1, 2015;8:15 AM;9,959.5
Jan 1, 2015;8:30 AM;9,954.25
Jan 1, 2015;8:45 AM;10,028
Jan 1, 2015;9:00 AM;10,197.25
Jan 1, 2015;9:15 AM;10,330.25
Jan 1, 2015;9:30 AM;10,475.75
Jan 1, 2015;9:45 AM;10,614.75
Jan 1, 2015;10:00 AM;10,728
Jan 1, 2015;10:15 AM;10,888.25
Jan 1, 2015;10:30 AM;11,060.75
Jan 1, 2015;10:45 AM;11,180.75
Jan 1, 2015;11:00 AM;11,379.25
Jan 1, 2015;11:15 AM;11,514.5
Jan 1, 2015;11:30 AM;11,616.75
Jan 1, 2015;11:45 AM;11,697.5
Jan 1, 2015;12:00 PM;11,805
Jan 1, 2015;12:15 PM;11,926.25
Jan 1, 2015;12:30 PM;11,937.75
Jan 1, 2015;12:45 PM;11,886.75
Jan 1, 2015;1:00 PM;11,801.5
Jan 1, 2015;1:15 PM;11,697
Jan 1, 2015;1:30 PM;11,607.25
Jan 1, 2015;1:45 PM;11,568
Jan 1, 2015;2:00 PM;11,488.75
Jan 1, 2015;2:15 PM;11,506.5
Jan 1, 2015;2:30 PM;11,489
Jan 1, 2015;2:45 PM;11,438.25
Jan 1, 2015;3:00 PM;11,503
Jan 1, 2015;3:15 PM;11,522.75
Jan 1, 2015;3:30 PM;11,600.5
Jan 1, 2015;3:45 PM;11,721
Jan 1, 2015;4:00 PM;11,761.25
Jan 1, 2015;4:15 PM;11,884.5
Jan 1, 2015;4:30 PM;12,158.25
Jan 1, 2015;4:45 PM;12,426
Jan 1, 2015;5:00 PM;12,719.25
Jan 1, 2015;5:15 PM;12,949.25
Jan 1, 2015;5:30 PM;13,003.5
Jan 1, 2015;5:45 PM;12,961.5
Jan 1, 2015;6:00 PM;12,932
Jan 1, 2015;6:15 PM;12,876.75
Jan 1, 2015;6:30 PM;12,793.75
Jan 1, 2015;6:45 PM;12,704.5
Jan 1, 2015;7:00 PM;12,699
Jan 1, 2015;7:15 PM;12,689.5
Jan 1, 2015;7:30 PM;12,497.5
Jan 1, 2015;7:45 PM;12,251.75
Jan 1, 2015;8:00 PM;12,092.25
Jan 1, 2015;8:15 PM;11,898.25
Jan 1, 2015;8:30 PM;11,664.25
Jan 1, 2015;8:45 PM;11,437.25
Jan 1, 2015;9:00 PM;11,383.25
Jan 1, 2015;9:15 PM;11,329.5
Jan 1, 2015;9:30 PM;11,208.25
Jan 1, 2015;9:45 PM;11,261
Jan 1, 2015;10:00 PM;12,636
Jan 1, 2015;10:15 PM;12,445
Jan 1, 2015;10:30 PM;12,230
Jan 1, 2015;10:45 PM;12,053.75
Jan 1, 2015;11:00 PM;11,952.5
Jan 1, 2015;11:15 PM;11,717.25
Jan 1, 2015;11:30 PM;11,483.25
Jan 1, 2015;11:45 PM;11,315.25
Jan 2, 2015;12:00 AM;10,951
Jan 2, 2015;12:15 AM;10,951.25
Jan 2, 2015;12:30 AM;10,716.5
Jan 2, 2015;12:45 AM;10,634.5
Jan 2, 2015;1:00 AM;10,536.5
Jan 2, 2015;1:15 AM;10,412.75
Jan 2, 2015;1:30 AM;10,352.75
Jan 2, 2015;1:45 AM;10,306.25
Jan 2, 2015;2:00 AM;10,253.25
Jan 2, 2015;2:15 AM;10,232.5
Jan 2, 2015;2:30 AM;10,199.75
Jan 2, 2015;2:45 AM;10,153.5
Jan 2, 2015;3:00 AM;10,181.5
Jan 2, 2015;3:15 AM;10,184
Jan 2, 2015;3:30 AM;10,097
Jan 2, 2015;3:45 AM;10,114.25
Jan 2, 2015;4:00 AM;10,222.25
Jan 2, 2015;4:15 AM;10,302.75
Jan 2, 2015;4:30 AM;10,379.25
Jan 2, 2015;4:45 AM;10,460
Jan 2, 2015;5:00 AM;10,693.25
Jan 2, 2015;5:15 AM;10,748.75
Jan 2, 2015;5:30 AM;10,911.75
Jan 2, 2015;5:45 AM;11,091.25
Jan 2, 2015;6:00 AM;11,282.5
Jan 2, 2015;6:15 AM;11,492.5
Jan 2, 2015;6:30 AM;11,828.5
Jan 2, 2015;6:45 AM;12,075.75
Jan 2, 2015;7:00 AM;12,427.25
Jan 2, 2015;7:15 AM;12,639
Jan 2, 2015;7:30 AM;12,944.5
Jan 2, 2015;7:45 AM;13,264.25
Jan 2, 2015;8:00 AM;13,544.5
Jan 2, 2015;8:15 AM;13,819.25
Jan 2, 2015;8:30 AM;13,961.75
Jan 2, 2015;8:45 AM;13,979.5
Jan 2, 2015;9:00 AM;14,205.25
Jan 2, 2015;9:15 AM;14,355.5
Jan 2, 2015;9:30 AM;14,420.75
Jan 2, 2015;9:45 AM;14,531.5
Jan 2, 2015;10:00 AM;14,706.5
Jan 2, 2015;10:15 AM;14,735.5
Jan 2, 2015;10:30 AM;14,921
Jan 2, 2015;10:45 AM;14,988
Jan 2, 2015;11:00 AM;15,077.75
Jan 2, 2015;11:15 AM;15,121.75
Jan 2, 2015;11:30 AM;15,116.5
Jan 2, 2015;11:45 AM;15,134.75
Jan 2, 2015;12:00 PM;15,116.75
Jan 2, 2015;12:15 PM;15,014
Jan 2, 2015;12:30 PM;15,014.5
Jan 2, 2015;12:45 PM;14,959.25
Jan 2, 2015;1:00 PM;14,969.75
Jan 2, 2015;1:15 PM;14,945.75
Jan 2, 2015;1:30 PM;14,848.75
Jan 2, 2015;1:45 PM;14,803.5
Jan 2, 2015;2:00 PM;14,758.25
Jan 2, 2015;2:15 PM;14,673
Jan 2, 2015;2:30 PM;14,585
Jan 2, 2015;2:45 PM;14,544.5
Jan 2, 2015;3:00 PM;14,594.75
Jan 2, 2015;3:15 PM;14,501.25
Jan 2, 2015;3:30 PM;14,441.75
Jan 2, 2015;3:45 PM;14,474.25
Jan 2, 2015;4:00 PM;14,574.75
Jan 2, 2015;4:15 PM;14,733.75
Jan 2, 2015;4:30 PM;14,880.25
Jan 2, 2015;4:45 PM;15,098
Jan 2, 2015;5:00 PM;15,418.25
Jan 2, 2015;5:15 PM;15,499.25
Jan 2, 2015;5:30 PM;15,608.25
Jan 2, 2015;5:45 PM;15,682
Jan 2, 2015;6:00 PM;15,633.75
Jan 2, 2015;6:15 PM;15,560.75
Jan 2, 2015;6:30 PM;15,482.5
Jan 2, 2015;6:45 PM;15,330.25
Jan 2, 2015;7:00 PM;15,144.5
Jan 2, 2015;7:15 PM;14,926.75
Jan 2, 2015;7:30 PM;14,748.5
Jan 2, 2015;7:45 PM;14,588.5
Jan 2, 2015;8:00 PM;14,345
Jan 2, 2015;8:15 PM;14,012.75
Jan 2, 2015;8:30 PM;13,741.25
Jan 2, 2015;8:45 PM;13,595.5
Jan 2, 2015;9:00 PM;13,503.5
Jan 2, 2015;9:15 PM;13,434.75
Jan 2, 2015;9:30 PM;13,273.5
Jan 2, 2015;9:45 PM;13,234.5
Jan 2, 2015;10:00 PM;13,315.25
Jan 2, 2015;10:15 PM;13,164.25
Jan 2, 2015;10:30 PM;12,984
Jan 2, 2015;10:45 PM;12,080.5
Jan 2, 2015;11:00 PM;11,975.75
Jan 2, 2015;11:15 PM;11,737.25
Jan 2, 2015;11:30 PM;11,487
Jan 2, 2015;11:45 PM;11,200.25
Jan 3, 2015;12:00 AM;10,693.25
Jan 3, 2015;12:15 AM;10,430
Jan 3, 2015;12:30 AM;10,244.75
Jan 3, 2015;12:45 AM;10,075.75
Jan 3, 2015;1:00 AM;9,958.75
Jan 3, 2015;1:15 AM;9,818.5
Jan 3, 2015;1:30 AM;9,769.25
Jan 3, 2015;1:45 AM;9,669.25
Jan 3, 2015;2:00 AM;9,592.5
Jan 3, 2015;2:15 AM;9,436.25
Jan 3, 2015;2:30 AM;9,294.5
Jan 3, 2015;2:45 AM;9,249.5
Jan 3, 2015;3:00 AM;9,213.25
Jan 3, 2015;3:15 AM;9,144.5
Jan 3, 2015;3:30 AM;9,135
Jan 3, 2015;3:45 AM;9,172.75
Jan 3, 2015;4:00 AM;9,273.5
Jan 3, 2015;4:15 AM;9,197
Jan 3, 2015;4:30 AM;9,216
Jan 3, 2015;4:45 AM;9,231
Jan 3, 2015;5:00 AM;9,379.75
Jan 3, 2015;5:15 AM;9,300.25
Jan 3, 2015;5:30 AM;9,278
Jan 3, 2015;5:45 AM;9,485.25
Jan 3, 2015;6:00 AM;9,541.75
Jan 3, 2015;6:15 AM;9,604.25
Jan 3, 2015;6:30 AM;9,780.25
Jan 3, 2015;6:45 AM;10,000.25
Jan 3, 2015;7:00 AM;10,147.75
Jan 3, 2015;7:15 AM;10,321.75
Jan 3, 2015;7:30 AM;10,534
Jan 3, 2015;7:45 AM;10,786.5
Jan 3, 2015;8:00 AM;10,983
Jan 3, 2015;8:15 AM;11,109.5
Jan 3, 2015;8:30 AM;11,269.25
Jan 3, 2015;8:45 AM;11,509.5
Jan 3, 2015;9:00 AM;11,777.5
Jan 3, 2015;9:15 AM;11,906.75
Jan 3, 2015;9:30 AM;12,199
Jan 3, 2015;9:45 AM;12,375
Jan 3, 2015;10:00 AM;12,466
Jan 3, 2015;10:15 AM;12,502.75
Jan 3, 2015;10:30 AM;12,551
Jan 3, 2015;10:45 AM;12,701.5
Jan 3, 2015;11:00 AM;12,848.25
Jan 3, 2015;11:15 AM;13,034.5
Jan 3, 2015;11:30 AM;13,325.5
Jan 3, 2015;11:45 AM;13,459.5
Jan 3, 2015;12:00 PM;13,209.5
Jan 3, 2015;12:15 PM;13,249
Jan 3, 2015;12:30 PM;13,442.5
Jan 3, 2015;12:45 PM;13,427
Jan 3, 2015;1:00 PM;13,412.25
Jan 3, 2015;1:15 PM;13,239.5
Jan 3, 2015;1:30 PM;13,181
Jan 3, 2015;1:45 PM;13,072.75
Jan 3, 2015;2:00 PM;13,029.25
Jan 3, 2015;2:15 PM;12,928.25
Jan 3, 2015;2:30 PM;12,908.25
Jan 3, 2015;2:45 PM;12,794.5
Jan 3, 2015;3:00 PM;12,795.25
Jan 3, 2015;3:15 PM;12,752.25
Jan 3, 2015;3:30 PM;12,774
Jan 3, 2015;3:45 PM;12,782.5
Jan 3, 2015;4:00 PM;12,886
Jan 3, 2015;4:15 PM;13,238.5
Jan 3, 2015;4:30 PM;13,368
Jan 3, 2015;4:45 PM;13,554.75
Jan 3, 2015;5:00 PM;13,873.5
Jan 3, 2015;5:15 PM;13,929.25
Jan 3, 2015;5:30 PM;14,074
Jan 3, 2015;5:45 PM;14,137
Jan 3, 2015;6:00 PM;14,167.5
Jan 3, 2015;6:15 PM;14,070.5
Jan 3, 2015;6:30 PM;13,899
Jan 3, 2015;6:45 PM;13,788.75
Jan 3, 2015;7:00 PM;13,622.5
Jan 3, 2015;7:15 PM;13,664.75
Jan 3, 2015;7:30 PM;13,312.75
Jan 3, 2015;7:45 PM;13,264.75
Jan 3, 2015;8:00 PM;12,947.5
Jan 3, 2015;8:15 PM;12,617.25
Jan 3, 2015;8:30 PM;12,275.75
Jan 3, 2015;8:45 PM;12,091.5
Jan 3, 2015;9:00 PM;12,093
Jan 3, 2015;9:15 PM;12,032.25
Jan 3, 2015;9:30 PM;11,954.75
Jan 3, 2015;9:45 PM;11,934.25
Jan 3, 2015;10:00 PM;11,998.5
Jan 3, 2015;10:15 PM;12,072.75
Jan 3, 2015;10:30 PM;11,886
Jan 3, 2015;10:45 PM;11,644.75
Jan 3, 2015;11:00 PM;11,457.25
Jan 3, 2015;11:15 PM;11,477
Jan 3, 2015;11:30 PM;11,315.5
Jan 3, 2015;11:45 PM;11,242
Jan 4, 2015;12:00 AM;10,958.25
Jan 4, 2015;12:15 AM;10,736.75
Jan 4, 2015;12:30 AM;10,653
Jan 4, 2015;12:45 AM;10,511
Jan 4, 2015;1:00 AM;9,831.5
Jan 4, 2015;1:15 AM;9,773.25
Jan 4, 2015;1:30 AM;9,786.75
Jan 4, 2015;1:45 AM;9,607.75
Jan 4, 2015;2:00 AM;9,327.5
Jan 4, 2015;2:15 AM;9,284.25
Jan 4, 2015;2:30 AM;9,269.5
Jan 4, 2015;2:45 AM;9,248.5
Jan 4, 2015;3:00 AM;9,112
Jan 4, 2015;3:15 AM;9,059.75
Jan 4, 2015;3:30 AM;9,085.5
Jan 4, 2015;3:45 AM;9,110.25
Jan 4, 2015;4:00 AM;9,145.5
Jan 4, 2015;4:15 AM;9,090
Jan 4, 2015;4:30 AM;9,131.75
Jan 4, 2015;4:45 AM;9,118.25
Jan 4, 2015;5:00 AM;9,125.5
Jan 4, 2015;5:15 AM;8,966.75
Jan 4, 2015;5:30 AM;8,973.25
Jan 4, 2015;5:45 AM;8,813.5
Jan 4, 2015;6:00 AM;8,562.75
Jan 4, 2015;6:15 AM;8,556
Jan 4, 2015;6:30 AM;8,877
Jan 4, 2015;6:45 AM;9,066.25
Jan 4, 2015;7:00 AM;9,188.5
Jan 4, 2015;7:15 AM;9,129.5
Jan 4, 2015;7:30 AM;9,529.75
Jan 4, 2015;7:45 AM;9,781.5
Jan 4, 2015;8:00 AM;9,896.5
Jan 4, 2015;8:15 AM;10,037
Jan 4, 2015;8:30 AM;10,294.25
Jan 4, 2015;8:45 AM;10,380
Jan 4, 2015;9:00 AM;10,595.75
Jan 4, 2015;9:15 AM;10,793.5
Jan 4, 2015;9:30 AM;10,950.25
Jan 4, 2015;9:45 AM;11,182.75
Jan 4, 2015;10:00 AM;11,425
Jan 4, 2015;10:15 AM;11,568.5
Jan 4, 2015;10:30 AM;11,693
Jan 4, 2015;10:45 AM;11,884.5
Jan 4, 2015;11:00 AM;12,220.25
Jan 4, 2015;11:15 AM;12,542
Jan 4, 2015;11:30 AM;12,714
Jan 4, 2015;11:45 AM;12,785.5
Jan 4, 2015;12:00 PM;12,681.75
Jan 4, 2015;12:15 PM;12,691
Jan 4, 2015;12:30 PM;12,585.25
Jan 4, 2015;12:45 PM;12,431
Jan 4, 2015;1:00 PM;12,286.5
Jan 4, 2015;1:15 PM;12,073.5
Jan 4, 2015;1:30 PM;12,013
Jan 4, 2015;1:45 PM;11,946
Jan 4, 2015;2:00 PM;11,883.25
Jan 4, 2015;2:15 PM;11,756
Jan 4, 2015;2:30 PM;11,770
Jan 4, 2015;2:45 PM;11,764.5
Jan 4, 2015;3:00 PM;11,815.5
Jan 4, 2015;3:15 PM;11,729.25
Jan 4, 2015;3:30 PM;11,738
Jan 4, 2015;3:45 PM;11,809.75
Jan 4, 2015;4:00 PM;11,979
Jan 4, 2015;4:15 PM;12,134.5
Jan 4, 2015;4:30 PM;12,319
Jan 4, 2015;4:45 PM;12,677.25
Jan 4, 2015;5:00 PM;13,023.75
Jan 4, 2015;5:15 PM;13,159
Jan 4, 2015;5:30 PM;13,230
Jan 4, 2015;5:45 PM;13,263
Jan 4, 2015;6:00 PM;13,390
Jan 4, 2015;6:15 PM;13,362.5
Jan 4, 2015;6:30 PM;13,302
Jan 4, 2015;6:45 PM;13,271.25
Jan 4, 2015;7:00 PM;13,087
Jan 4, 2015;7:15 PM;12,966.75
Jan 4, 2015;7:30 PM;12,931.5
Jan 4, 2015;7:45 PM;12,757.5
Jan 4, 2015;8:00 PM;12,583.5
Jan 4, 2015;8:15 PM;12,469.5
Jan 4, 2015;8:30 PM;12,208.25
Jan 4, 2015;8:45 PM;12,174
Jan 4, 2015;9:00 PM;12,076.75
Jan 4, 2015;9:15 PM;12,048.25
Jan 4, 2015;9:30 PM;12,025
Jan 4, 2015;9:45 PM;11,964
Jan 4, 2015;10:00 PM;12,224.25
Jan 4, 2015;10:15 PM;12,147.5
Jan 4, 2015;10:30 PM;12,052.25
Jan 4, 2015;10:45 PM;11,818.5
Jan 4, 2015;11:00 PM;11,709.75
Jan 4, 2015;11:15 PM;11,449.5
Jan 4, 2015;11:30 PM;11,282.75
Jan 4, 2015;11:45 PM;11,018
Jan 5, 2015;12:00 AM;10,682.25
Jan 5, 2015;12:15 AM;10,525.75
Jan 5, 2015;12:30 AM;10,382.25
Jan 5, 2015;12:45 AM;10,287.75
Jan 5, 2015;1:00 AM;10,157
Jan 5, 2015;1:15 AM;9,985.75
Jan 5, 2015;1:30 AM;9,948.25
Jan 5, 2015;1:45 AM;9,859.75
Jan 5, 2015;2:00 AM;9,779.75
Jan 5, 2015;2:15 AM;9,712
Jan 5, 2015;2:30 AM;9,698
Jan 5, 2015;2:45 AM;9,651.5
Jan 5, 2015;3:00 AM;9,709
Jan 5, 2015;3:15 AM;9,676.25
Jan 5, 2015;3:30 AM;9,685.75
Jan 5, 2015;3:45 AM;9,700.75
Jan 5, 2015;4:00 AM;9,787
Jan 5, 2015;4:15 AM;9,932
Jan 5, 2015;4:30 AM;10,032.75
Jan 5, 2015;4:45 AM;10,176.75
Jan 5, 2015;5:00 AM;10,545.75
Jan 5, 2015;5:15 AM;10,766.75
Jan 5, 2015;5:30 AM;11,014.25
Jan 5, 2015;5:45 AM;11,296.75
Jan 5, 2015;6:00 AM;11,764.25
Jan 5, 2015;6:15 AM;12,177.5
Jan 5, 2015;6:30 AM;12,610.75
Jan 5, 2015;6:45 AM;13,071
Jan 5, 2015;7:00 AM;13,447
Jan 5, 2015;7:15 AM;13,727.25
Jan 5, 2015;7:30 AM;14,001.25
Jan 5, 2015;7:45 AM;14,230.75
Jan 5, 2015;8:00 AM;14,608.25
Jan 5, 2015;8:15 AM;14,690.75
Jan 5, 2015;8:30 AM;14,817.5
Jan 5, 2015;8:45 AM;14,884
Jan 5, 2015;9:00 AM;14,989.5
Jan 5, 2015;9:15 AM;15,058
Jan 5, 2015;9:30 AM;15,127.25
Jan 5, 2015;9:45 AM;15,151.5
Jan 5, 2015;10:00 AM;15,194.25
Jan 5, 2015;10:15 AM;15,223
Jan 5, 2015;10:30 AM;15,307
Jan 5, 2015;10:45 AM;15,377
Jan 5, 2015;11:00 AM;15,455.5
Jan 5, 2015;11:15 AM;15,532.75
Jan 5, 2015;11:30 AM;15,530.5
Jan 5, 2015;11:45 AM;15,503.75
Jan 5, 2015;12:00 PM;15,490.5
